"","concentration","seasons","location","lake"
"1",54450.2652842421,"2","headwaters","Arkabutla Lake"
"2",151356.124843621,"2","headwaters","Arkabutla Lake"
"3",59156.1634175474,"2","headwaters","Arkabutla Lake"
"4",301995.172040201,"3","headwaters","Arkabutla Lake"
"5",135518.941235103,"3","headwaters","Arkabutla Lake"
"6",270395.836410884,"3","headwaters","Arkabutla Lake"
"7",235504.928389601,"3","headwaters","Arkabutla Lake"
"8",102801.629812647,"3","headwaters","Arkabutla Lake"
"9",444631.267469108,"3","headwaters","Arkabutla Lake"
"10",28054.3363795171,"3","headwaters","Arkabutla Lake"
"11",111686.324778056,"3","headwaters","Arkabutla Lake"
"12",16143.5855682649,"3","headwaters","Arkabutla Lake"
"13",199526.231496888,"3","headwaters","Arkabutla Lake"
"14",194088.587759278,"3","headwaters","Arkabutla Lake"
"15",94623.7161365793,"3","headwaters","Arkabutla Lake"
"16",173780.082874937,"3","headwaters","Arkabutla Lake"
"17",128233.058265602,"3","headwaters","Arkabutla Lake"
"18",111686.324778056,"3","headwaters","Arkabutla Lake"
"19",183653.834334835,"3","headwaters","Arkabutla Lake"
"20",94623.7161365793,"3","headwaters","Arkabutla Lake"
"21",135518.941235103,"3","headwaters","Arkabutla Lake"
"22",128233.058265602,"3","headwaters","Arkabutla Lake"
"23",205116.217882556,"3","headwaters","Arkabutla Lake"
"24",183653.834334835,"3","headwaters","Arkabutla Lake"
"25",255858.588690565,"3","headwaters","Arkabutla Lake"
"26",346736.850452532,"3","headwaters","Arkabutla Lake"
"27",1e+05,"3","headwaters","Arkabutla Lake"
"28",102801.629812647,"3","headwaters","Arkabutla Lake"
"29",135518.941235103,"3","headwaters","Arkabutla Lake"
"30",124738.351424294,"3","headwaters","Arkabutla Lake"
"31",194088.587759278,"3","headwaters","Arkabutla Lake"
"32",222843.51492703,"3","headwaters","Arkabutla Lake"
"33",194088.587759278,"4","headwaters","Arkabutla Lake"
"34",242102.904673618,"4","headwaters","Arkabutla Lake"
"35",108642.562361706,"4","headwaters","Arkabutla Lake"
"36",131825.673855641,"4","headwaters","Arkabutla Lake"
"37",194088.587759278,"4","headwaters","Arkabutla Lake"
"38",328095.293113119,"4","headwaters","Arkabutla Lake"
"39",21877.6162394955,"4","headwaters","Arkabutla Lake"
"40",105681.750921366,"4","headwaters","Arkabutla Lake"
"41",135518.941235103,"4","headwaters","Arkabutla Lake"
"42",270395.836410884,"4","headwaters","Arkabutla Lake"
"43",387257.644921617,"4","headwaters","Arkabutla Lake"
"44",310455.958812836,"4","headwaters","Arkabutla Lake"
"45",328095.293113119,"4","headwaters","Arkabutla Lake"
"46",270395.836410884,"4","headwaters","Arkabutla Lake"
"47",301995.172040201,"4","headwaters","Arkabutla Lake"
"48",205116.217882556,"4","headwaters","Arkabutla Lake"
"49",199526.231496888,"4","headwaters","Arkabutla Lake"
"50",310455.958812836,"4","headwaters","Arkabutla Lake"
"51",263026.799189538,"4","headwaters","Arkabutla Lake"
"52",285759.054337495,"4","headwaters","Arkabutla Lake"
"53",263026.799189538,"4","headwaters","Arkabutla Lake"
"54",242102.904673618,"4","headwaters","Arkabutla Lake"
"55",121338.885046498,"4","headwaters","Arkabutla Lake"
"56",366437.574647833,"4","headwaters","Arkabutla Lake"
"57",216770.410481969,"4","headwaters","Arkabutla Lake"
"58",205116.217882556,"4","headwaters","Arkabutla Lake"
"59",255858.588690565,"4","headwaters","Arkabutla Lake"
"60",242102.904673618,"4","headwaters","Arkabutla Lake"
"61",64268.7717317019,"4","headwaters","Arkabutla Lake"
"62",44874.5389933132,"4","headwaters","Arkabutla Lake"
"63",97274.7223776964,"4","headwaters","Arkabutla Lake"
"64",222843.51492703,"4","headwaters","Arkabutla Lake"
"65",54450.2652842421,"4","headwaters","Arkabutla Lake"
"66",73790.4230129101,"4","headwaters","Arkabutla Lake"
"67",105681.750921366,"1","headwaters","Arkabutla Lake"
"68",102801.629812647,"1","headwaters","Arkabutla Lake"
"69",92044.957175317,"1","headwaters","Arkabutla Lake"
"70",46131.7574560379,"1","headwaters","Arkabutla Lake"
"71",35974.9335155742,"1","headwaters","Arkabutla Lake"
"72",89536.4765549594,"1","headwaters","Arkabutla Lake"
"73",147231.250243272,"1","headwaters","Arkabutla Lake"
"74",147231.250243272,"1","headwaters","Arkabutla Lake"
"75",80167.8063387679,"1","headwaters","Arkabutla Lake"
"76",36982.8179780266,"1","headwaters","Arkabutla Lake"
"77",199526.231496888,"1","headwaters","Arkabutla Lake"
"78",173780.082874937,"1","headwaters","Arkabutla Lake"
"79",216770.410481969,"1","headwaters","Arkabutla Lake"
"80",97274.7223776964,"1","headwaters","Arkabutla Lake"
"81",183653.834334835,"1","headwaters","Arkabutla Lake"
"82",164437.172321493,"1","headwaters","Arkabutla Lake"
"83",151356.124843621,"1","headwaters","Arkabutla Lake"
"84",147231.250243272,"1","headwaters","Arkabutla Lake"
"85",40179.081084894,"1","headwaters","Arkabutla Lake"
"86",43651.5832240166,"1","headwaters","Arkabutla Lake"
"87",105681.750921366,"1","headwaters","Arkabutla Lake"
"88",270395.836410884,"1","headwaters","Arkabutla Lake"
"89",270395.836410884,"1","headwaters","Arkabutla Lake"
"90",398107.170553497,"1","headwaters","Arkabutla Lake"
"91",131825.673855641,"2","headwaters","Arkabutla Lake"
"92",328095.293113119,"2","headwaters","Arkabutla Lake"
"93",199526.231496888,"2","headwaters","Arkabutla Lake"
"94",242102.904673618,"2","headwaters","Arkabutla Lake"
"95",310455.958812836,"2","headwaters","Arkabutla Lake"
"96",346736.850452532,"2","headwaters","Arkabutla Lake"
"97",151356.124843621,"2","headwaters","Arkabutla Lake"
"98",131825.673855641,"2","headwaters","Arkabutla Lake"
"99",222843.51492703,"2","headwaters","Arkabutla Lake"
"100",328095.293113119,"2","headwaters","Arkabutla Lake"
"101",108642.562361706,"2","headwaters","Arkabutla Lake"
"102",94623.7161365793,"2","headwaters","Arkabutla Lake"
"103",64268.7717317019,"2","headwaters","Arkabutla Lake"
"104",28840.3150312661,"2","headwaters","Arkabutla Lake"
"105",27289.7778280804,"2","headwaters","Arkabutla Lake"
"106",222843.51492703,"2","headwaters","Arkabutla Lake"
"107",159955.802861467,"2","headwaters","Arkabutla Lake"
"108",87096.3589956081,"2","headwaters","Arkabutla Lake"
