"","location_sig","pvalue"
"1","Arkabutla Lake","0.0002324"
"2","Bardwell Lake","2.478e-56"
"3","Bayou D'Arbonne Lake","0.001023"
"4","Canton Lake","2.565e-28"
"5","Case Lake","2.222e-26"
"6","Cedar Creek Reservoir","1.945e-75"
"7","Copan Lake","4.76e-19"
"8","Corder Lake","2.178e-61"
"9","Cross Lake","1.424e-24"
"10","Cypress Lake","0.003967"
"11","Eagle Mountain Lake","1.334e-08"
"12","Enid Lake","2.688e-28"
"13","Ester Lake","2.931e-25"
"14","Falcon Reservoir","3.091e-78"
"15","Fort Cobb Reservoir","1.34e-20"
"16","Fort Gibson Lake","0.01635"
"17","Foss Reservoir","6.478e-08"
"18","Granada Reservoir","9.014e-26"
"19","Grand Lake O the Cherokees","0.08358"
"20","Grapevine Lake","8.339e-12"
"21","Horseshoe Tank","2.034e-10"
"22","Joe Pool Lake","2.236e-08"
"23","Kaw Lake","8.403e-08"
"24","Keystone Lake","6.108e-09"
"25","Lake Arrowhead","0.9955"
"26","Lake Claiborne","1.06e-05"
"27","Lake Conroe","3.973e-52"
"28","Lake Dardanelle","0.002033"
"29","Lake Erling","0.01307"
"30","Lake Houston","2.007e-19"
"31","Lake Lewisville","7.349e-21"
"32","Lake Limestone","2.539e-44"
"33","Lake Murvaul","1.84e-11"
"34","Lake O' the Pines","1.093e-40"
"35","Lake Palestine","7.785e-62"
"36","Lake Tawakoni","3.791e-49"
"37","Lake Thunderbird","7.529e-32"
"38","Lake Whitney","2.857e-06"
"39","Lavon Lake","5.18e-70"
"40","Martin Lake","1.133e-07"
"41","Monticello Reservoir","4.065e-11"
"42","N Lake Texoma","1"
"43","Navarro Mills Lake","4.63e-07"
"44","Oologah Lake","1.419e-18"
"45","Pat Mayse Lake","7.814e-09"
"46","Ray Roberts Lake","1.905e-08"
"47","Richland Chambers Reservoir","2.122e-42"
"48","Robert S Kerr Reservoir","4.638e-30"
"49","S Lake Eufaula","1.054e-26"
"50","Sardis Lake","5.407e-23"
"51","Sardis Lake","1.709e-06"
"52","Somerville Lake","1.747e-39"
"53","South Lake","5.59e-11"
"54","Toledo Bend Reservoir","2.811e-42"
"55","Tom Steed Reservoir","1.906e-16"
"56","Waco Lake","3.257e-14"
"57","Waurika Lake","1.494e-16"
"58","Wister Lake","0.001851"
"59","Woodlands Golf Course Lake","9.718e-68"
"60","Wright Patman Lake","7.04e-24"
